Judger,Narrator,Model,Knowledge Accuracy,Emotional Expression,Personality Traits,Behavioral Accuracy,Immersion,Adaptability,Behavioral Coherence,Average
azure_GPT-4-Turbo,azure_gpt-35-turbo,azure_GPT-4-Turbo,4.040650406504065,3.861788617886179,4.235772357723577,4.0894308943089435,4.235772357723577,3.869918699186992,4.260162601626016,4.084785133565622
azure_GPT-4-Turbo,azure_gpt-35-turbo,baichuan_sft,4.363636363636363,3.4545454545454546,4.363636363636363,4.363636363636363,4.181818181818182,3.3636363636363638,4.363636363636363,4.064935064935065
azure_GPT-4-Turbo,azure_gpt-35-turbo,baichuan_sft_more,4.5,3.0,4.5,4.5,4.0,3.5,4.0,4.0
azure_GPT-4-Turbo,azure_gpt-35-turbo,Qwen1.5-14B-Chat,3.8536585365853657,3.6260162601626016,3.951219512195122,3.796747967479675,4.008130081300813,3.731707317073171,4.0,3.852497096399535
azure_GPT-4-Turbo,azure_gpt-35-turbo,baichuan_sft_alpaca,4.181818181818182,3.4545454545454546,3.909090909090909,3.909090909090909,4.0,3.4545454545454546,3.8181818181818183,3.818181818181818
azure_GPT-4-Turbo,azure_gpt-35-turbo,Qwen1.5-7B-Chat,3.6721311475409837,3.5655737704918034,3.8524590163934427,3.6557377049180326,3.8934426229508197,3.6475409836065573,3.8934426229508197,3.7400468384074936
azure_GPT-4-Turbo,azure_gpt-35-turbo,azure_gpt-35-turbo,3.772357723577236,3.2439024390243905,3.8292682926829267,3.6991869918699187,3.7560975609756095,3.268292682926829,3.7642276422764227,3.6190476190476195
azure_GPT-4-Turbo,azure_gpt-35-turbo,Baichuan2-7B-Chat,3.6153846153846154,3.1452991452991452,3.6495726495726495,3.5042735042735043,3.658119658119658,3.2222222222222223,3.5982905982905984,3.4847374847374852
azure_GPT-4-Turbo,azure_gpt-35-turbo,Meta-Llama-3-8B-Instruct,3.475609756097561,3.1341463414634148,3.597560975609756,3.402439024390244,3.5121951219512195,3.158536585365854,3.5121951219512195,3.3989547038327528
azure_GPT-4-Turbo,azure_gpt-35-turbo,Baichuan2-13B-Chat,3.4871794871794872,2.9914529914529915,3.47008547008547,3.452991452991453,3.47008547008547,3.0256410256410255,3.4871794871794872,3.340659340659341
azure_GPT-4-Turbo,azure_gpt-35-turbo,phi_sft,3.5454545454545454,2.8181818181818183,3.272727272727273,3.090909090909091,3.3636363636363638,2.8181818181818183,3.272727272727273,3.1688311688311686
azure_GPT-4-Turbo,azure_gpt-35-turbo,Phi-3-mini-128k-instruct,2.7804878048780486,2.5365853658536586,2.8536585365853657,2.6341463414634148,2.869918699186992,2.6422764227642275,2.7235772357723578,2.7200929152148663
azure_GPT-4-Turbo,azure_gpt-35-turbo,Mistral-7B-Instruct-v0.2,2.6363636363636362,2.56198347107438,2.743801652892562,2.512396694214876,2.7107438016528924,2.603305785123967,2.6115702479338845,2.625737898465171
